tempo,carros_parados
0,0
1,24
2,0
3,0
4,12
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,8
14,12
15,12
16,12
17,20
18,24
19,28
20,32
21,32
22,44
23,52
24,52
25,56
26,60
27,60
28,64
29,64
30,64
31,76
32,76
33,76
34,60
35,40
36,24
37,20
38,16
39,12
40,12
41,16
42,16
43,16
44,16
45,16
46,16
47,16
48,16
49,16
50,20
51,24
52,24
53,24
54,24
55,24
56,24
57,24
58,24
59,24
60,28
61,28
62,28
63,28
64,8
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
