tempo,densidade_media_prioritarios
0,0.0
1,1.7036604361370722
2,1.7036604361370722
3,1.7036604361370722
4,2.4170157911698356
5,2.4170157911698356
6,2.4170157911698356
7,2.4170157911698356
8,2.4170157911698356
9,2.4170157911698356
10,2.148458481039854
11,2.4170157911698356
12,3.7598023418197446
13,4.296916962079708
14,4.834031582339671
15,5.102588892469654
16,5.102588892469654
17,5.102588892469654
18,4.56547427220969
19,4.296916962079708
20,4.296916962079708
21,4.028359651949726
22,4.028359651949726
23,4.56547427220969
24,4.296916962079708
25,4.4503782821539835
26,3.8940809968847354
27,3.669422477833693
28,3.6912642782969893
29,3.3015034538805366
30,2.5396180414465666
31,2.7814864263462393
32,2.4338006230529596
33,2.5618953926873256
34,2.7042229145032888
35,2.596053997923157
36,2.596053997923157
37,2.2465851905104244
38,2.4338006230529596
39,2.4338006230529596
40,2.4338006230529596
41,2.655055225148683
42,2.655055225148683
43,2.655055225148683
44,2.655055225148683
45,2.655055225148683
46,2.655055225148683
47,2.655055225148683
48,1.3275276125743416
49,1.59303313508921
50,1.59303313508921
51,1.858538657604078
52,1.59303313508921
53,2.1240441801189465
54,2.655055225148683
55,2.3895497026338144
56,2.655055225148683
57,2.3895497026338144
58,1.3629283489096575
59,1.5576323987538943
60,1.1682242990654208
61,0.9735202492211839
62,0.9735202492211839
63,1.1682242990654208
64,1.2980269989615787
65,1.0816891658013152
66,1.0816891658013152
67,1.3907432131731197
68,1.3907432131731197
69,1.3907432131731197
70,1.622533748701973
71,1.622533748701973
72,1.622533748701973
73,1.622533748701973
74,1.622533748701973
75,1.622533748701973
76,1.9470404984423677
77,1.9470404984423677
78,1.9470404984423677
79,1.9470404984423677
80,1.9470404984423677
81,1.9470404984423677
82,1.9470404984423677
83,1.9470404984423677
84,1.9470404984423677
85,1.9470404984423677
86,1.9470404984423677
87,1.9470404984423677
88,1.9470404984423677
89,1.9470404984423677
90,1.9470404984423677
91,1.9470404984423677
92,1.9470404984423677
93,1.9470404984423677
94,1.9470404984423677
95,1.1682242990654208
96,1.1682242990654208
97,1.1682242990654208
98,0.38940809968847356
99,0.38940809968847356
100,0.38940809968847356
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
