tempo,densidade_media
0,0.0
1,5.841121495327104
2,5.841121495327104
3,5.841121495327104
4,8.761682242990654
5,8.761682242990654
6,8.761682242990654
7,8.761682242990654
8,8.761682242990654
9,8.761682242990654
10,7.788161993769471
11,8.761682242990654
12,13.629283489096574
13,15.576323987538942
14,17.523364485981308
15,18.496884735202496
16,18.496884735202496
17,18.496884735202496
18,16.549844236760126
19,15.576323987538942
20,15.576323987538942
21,14.602803738317759
22,14.602803738317759
23,16.549844236760126
24,15.576323987538942
25,15.576323987538942
26,13.629283489096574
27,13.629283489096574
28,12.655763239875391
29,12.655763239875391
30,9.735202492211839
31,9.735202492211839
32,9.735202492211839
33,9.735202492211839
34,9.735202492211839
35,9.735202492211839
36,9.735202492211839
37,9.735202492211839
38,9.735202492211839
39,9.735202492211839
40,9.735202492211839
41,9.735202492211839
42,9.735202492211839
43,9.735202492211839
44,9.735202492211839
45,9.735202492211839
46,9.735202492211839
47,9.735202492211839
48,4.867601246105919
49,5.841121495327104
50,5.841121495327104
51,6.814641744548287
52,5.841121495327104
53,7.788161993769471
54,9.735202492211839
55,8.761682242990654
56,9.735202492211839
57,8.761682242990654
58,6.814641744548287
59,7.788161993769471
60,5.841121495327104
61,4.867601246105919
62,4.867601246105919
63,5.841121495327104
64,5.841121495327104
65,4.867601246105919
66,4.867601246105919
67,4.867601246105919
68,4.867601246105919
69,4.867601246105919
70,4.867601246105919
71,4.867601246105919
72,4.867601246105919
73,4.867601246105919
74,4.867601246105919
75,4.867601246105919
76,4.867601246105919
77,4.867601246105919
78,4.867601246105919
79,4.867601246105919
80,4.867601246105919
81,4.867601246105919
82,4.867601246105919
83,4.867601246105919
84,4.867601246105919
85,4.867601246105919
86,4.867601246105919
87,4.867601246105919
88,4.867601246105919
89,4.867601246105919
90,4.867601246105919
91,4.867601246105919
92,4.867601246105919
93,4.867601246105919
94,4.867601246105919
95,2.920560747663552
96,2.920560747663552
97,2.920560747663552
98,0.9735202492211839
99,0.9735202492211839
100,0.9735202492211839
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
